iter	RMSE
0	0.222460543
1	0.2223464227
2	0.222234105
3	0.2220800895
4	0.2219874471
5	0.2219186507
6	0.2217517659
7	0.2216327212
8	0.2215313344
9	0.221426742
10	0.2213509319
11	0.2212311616
12	0.2211182939
13	0.2209925693
14	0.2208604951
15	0.2207591128
16	0.2206724555
17	0.2205736833
18	0.2204408395
19	0.2203097869
20	0.2202064592
21	0.2201335175
22	0.2200477558
23	0.2199650497
24	0.219875111
25	0.2197935253
26	0.2196731062
27	0.219573331
28	0.2194855107
29	0.2193751861
30	0.2192449666
31	0.2191164729
32	0.2190020746
33	0.2188803488
34	0.2187821294
35	0.2186469548
36	0.2185309611
37	0.2184426225
38	0.2183363582
39	0.2182752835
40	0.2181742735
41	0.2180673113
42	0.2179592806
43	0.2178430969
44	0.2177564059
45	0.2176360463
46	0.2175432933
47	0.217467248
48	0.2173550089
49	0.217249766
50	0.2171759547
51	0.2171012057
52	0.2169965449
53	0.2169252172
54	0.2168785066
55	0.2168227847
56	0.2166989747
57	0.2166369444
58	0.2165417156
59	0.216419337
60	0.2163160381
61	0.2162360868
62	0.2161170769
63	0.2160406548
64	0.2159550903
65	0.2158912839
66	0.2157864203
67	0.2156975524
68	0.215588941
69	0.2155079306
70	0.2154002873
71	0.2153189041
72	0.2152162281
73	0.2151419345
74	0.2150919757
75	0.2150062774
76	0.2149253886
77	0.2148117453
78	0.2146994347
79	0.214605031
80	0.2145323487
81	0.2144474599
82	0.2143439134
83	0.2142463825
84	0.2141585037
85	0.2140791401
86	0.2139742905
87	0.2139221081
88	0.2138333673
89	0.213731516
90	0.2136639436
91	0.2135750223
92	0.2134854371
93	0.2133897407
94	0.2132944987
95	0.2131958085
96	0.2131357226
97	0.2130867886
98	0.2129804905
99	0.2128839727
100	0.212808221
101	0.2127477882
102	0.212628736
103	0.2125171414
104	0.2124471808
105	0.2123671106
106	0.2122654389
107	0.2121703221
108	0.2120754168
109	0.2120149835
110	0.2119030978
111	0.2118180075
112	0.2117552688
113	0.2116785768
114	0.2115895594
115	0.2114977417
116	0.211384357
117	0.2112917798
118	0.2112507168
119	0.2112024601
120	0.2111247164
121	0.2110155128
122	0.2109484519
123	0.2108378609
124	0.2107235603
125	0.2106202616
126	0.2105586354
127	0.2105014561
128	0.2104243536
129	0.2103497962
130	0.2102716677
131	0.2102127428
132	0.2101389373
133	0.2100550455
134	0.2099366565
135	0.2098243159
136	0.2097386561
137	0.2096694843
138	0.2095872161
139	0.2095009316
140	0.2093949375
141	0.2093585803
142	0.2092580977
143	0.2091845015
144	0.2091113915
145	0.2090261504
146	0.2089797999
147	0.2089144319
148	0.2088245253
149	0.2087542603
150	0.2087044902
151	0.2086307581
152	0.2085390547
153	0.208480063
154	0.2083862019
155	0.2083052404
156	0.2082264211
157	0.2081457407
158	0.2080788058
159	0.2079961671
160	0.2078945095
161	0.2078057092
162	0.2077235953
163	0.2076241911
164	0.2074882488
165	0.2073969957
166	0.2073170472
167	0.2072224832
168	0.2071416407
169	0.2070765183
170	0.2069470036
171	0.2068742156
172	0.2067951391
173	0.2067183566
174	0.2066394313
175	0.2065396956
176	0.2064633851
177	0.2063985365
178	0.2063090682
179	0.2062216388
180	0.2062213451
181	0.2061332366
182	0.2060699352
183	0.2060168133
184	0.2059370704
185	0.2058743841
186	0.2058032417
187	0.2057408929
188	0.205656544
189	0.2055687793
190	0.2054737712
191	0.2053882938
192	0.2053421848
193	0.2052528621
194	0.2051784297
195	0.2050885905
196	0.2050004973
197	0.204921194
198	0.2048504219
199	0.2047541699
200	0.2046961637
201	0.2046018919
202	0.204531318
203	0.2044526111
204	0.2043944858
205	0.2043117643
206	0.20422199
207	0.2041573791
208	0.2040924253
209	0.2039879165
210	0.2039305375
211	0.2038395138
212	0.2037633502
213	0.203710559
214	0.2036336634
215	0.2035945446
216	0.2035379596
217	0.2034533391
218	0.203357249
219	0.2033019605
220	0.2032160748
221	0.2031491111
222	0.203050136
223	0.2029655938
224	0.2028844541
225	0.2028120936
226	0.2027895405
227	0.2027514272
228	0.2026707459
229	0.2025924114
230	0.2025042484
231	0.2023971648
232	0.2023179266
233	0.2022444289
234	0.2021590916
235	0.2020724833
236	0.2020163628
237	0.2019300546
238	0.2018486662
239	0.2017846321
240	0.2017189919
241	0.2016541746
242	0.2016006914
243	0.20153688
244	0.2014701559
245	0.2014169404
246	0.2013512797
247	0.2012852961
248	0.2012169322
249	0.2011415903
250	0.2010394266
251	0.2009565181
252	0.2008958368
253	0.2007993209
254	0.200742257
255	0.2006584253
256	0.2005596471
257	0.2004732576
258	0.2004207917
259	0.2003283112
260	0.2002430147
261	0.2001883547
262	0.2001075188
263	0.2000390364
264	0.1999474233
265	0.1998578324
266	0.1997729393
267	0.1996644407
268	0.1995645782
269	0.1994838852
270	0.1993970393
271	0.1993229416
272	0.1992618924
273	0.1991844425
274	0.1991259861
275	0.1990263758
276	0.1989266231
277	0.1988193515
278	0.1987715263
279	0.1986803323
280	0.1985573296
281	0.1984815459
282	0.1984294929
283	0.1983310352
284	0.1982764912
285	0.1981799317
286	0.1981042202
287	0.1980261387
288	0.1979593509
289	0.1978897544
