iter	Passed	Remaining
0	9	5130
1	19	5267
2	28	5243
3	38	5175
4	46	5094
5	56	5124
6	65	5086
7	74	5023
8	83	4983
9	91	4939
10	100	4908
11	111	4977
12	121	5004
13	131	5020
14	141	5014
15	151	5033
16	160	5017
17	170	5026
18	178	4970
19	186	4913
20	193	4865
21	202	4836
22	209	4792
23	217	4754
24	225	4709
25	232	4667
26	239	4620
27	246	4585
28	253	4542
29	260	4503
30	267	4469
31	275	4446
32	284	4433
33	291	4407
34	300	4406
35	308	4382
36	316	4364
37	323	4337
38	330	4318
39	337	4285
40	344	4261
41	352	4252
42	361	4243
43	369	4229
44	377	4216
45	385	4204
46	393	4189
47	401	4180
48	412	4199
49	421	4197
50	431	4203
51	439	4196
52	450	4202
53	458	4198
54	466	4185
55	475	4174
56	484	4171
57	492	4164
58	502	4165
59	511	4162
60	521	4160
61	530	4158
62	539	4154
63	549	4153
64	558	4148
65	566	4140
66	575	4134
67	585	4132
68	597	4147
69	605	4138
70	614	4128
71	623	4119
72	632	4113
73	640	4102
74	648	4092
75	657	4084
76	666	4074
77	675	4068
78	683	4060
79	692	4051
80	701	4042
81	710	4035
82	719	4030
83	728	4024
84	736	4013
85	745	4004
86	753	3993
87	762	3984
88	771	3977
89	780	3971
90	788	3960
91	797	3950
92	806	3943
93	814	3934
94	823	3927
95	833	3922
96	842	3917
97	850	3906
98	859	3899
99	868	3888
100	876	3877
101	912	3989
102	936	4044
103	1003	4284
104	1100	4644
105	1131	4716
106	1166	4807
107	1218	4963
108	1249	5032
109	1265	5038
110	1277	5028
111	1288	5014
112	1297	4994
113	1306	4974
114	1316	4955
115	1325	4936
116	1335	4918
117	1345	4904
118	1355	4886
119	1364	4868
120	1378	4864
121	1391	4857
122	1403	4849
123	1414	4837
124	1425	4824
125	1435	4806
126	1444	4789
127	1455	4776
128	1465	4761
129	1475	4744
130	1484	4726
131	1494	4708
132	1503	4691
133	1513	4675
134	1567	4794
135	1582	4794
136	1595	4787
137	1606	4771
138	1617	4760
139	1628	4744
140	1638	4729
141	1648	4713
142	1659	4699
143	1673	4694
144	1684	4682
145	1695	4668
146	1707	4657
147	1718	4644
148	1730	4633
149	1740	4619
150	1751	4604
151	1760	4586
152	1771	4572
153	1780	4555
154	1790	4539
155	1800	4524
156	1810	4507
157	1819	4490
158	1828	4474
159	1837	4456
160	1846	4439
161	1856	4423
162	1866	4407
163	1876	4392
164	1885	4377
165	1894	4360
166	1904	4344
167	1914	4330
168	1924	4315
169	1933	4298
170	1943	4285
171	1954	4271
172	1963	4256
173	1974	4244
174	1984	4228
175	1995	4216
176	2009	4211
177	2019	4198
178	2029	4183
179	2040	4172
180	2044	4145
181	2054	4131
182	2062	4113
183	2070	4096
184	2078	4079
185	2087	4062
186	2095	4045
187	2104	4029
188	2112	4013
189	2122	3998
190	2131	3983
191	2140	3969
192	2148	3952
193	2157	3936
194	2165	3919
195	2173	3903
196	2183	3889
197	2190	3872
198	2198	3855
199	2205	3838
200	2213	3821
201	2221	3805
202	2229	3788
203	2236	3772
204	2243	3754
205	2251	3737
206	2258	3720
207	2268	3707
208	2275	3690
209	2283	3674
210	2290	3657
211	2297	3640
212	2305	3625
213	2312	3608
214	2319	3593
215	2326	3576
216	2333	3559
217	2340	3543
218	2348	3527
219	2355	3511
220	2362	3495
221	2369	3479
222	2377	3464
